Date : 2024-10-24 16:36:41
Directory : /Users/yangwenlong/Desktop/gitee/cxy-web-tool
Total : 107 files,  24851 codes, 633 comments, 1960 blanks, all 27444 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src/components/keyword/components/Main                                                          |          3 |      1,757 |         19 |         65 |      1,841 |
| src/components/keyword/components/Menu                                                          |          2 |        152 |          8 |         18 |        178 |
| src/components/keyword/components/Side                                                          |          2 |         14 |          8 |          4 |         26 |
| src/components/layout                                                                           |          7 |        464 |         53 |         61 |        578 |
| src/components/layout (Files)                                                                   |          1 |         22 |          9 |          4 |         35 |
| src/components/layout/cxy-content                                                               |          2 |         33 |          9 |          6 |         48 |
| src/components/layout/cxy-header                                                                |          2 |        242 |         25 |         27 |        294 |
| src/components/layout/cxy-menu                                                                  |          2 |        167 |         10 |         24 |        201 |
| src/components/navbar                                                                           |          2 |        147 |          9 |         26 |        182 |
| src/components/popup                                                                            |          2 |        141 |          8 |         17 |        166 |
| src/router                                                                                      |          4 |        144 |         25 |         11 |        180 |
| src/router (Files)                                                                              |          1 |          7 |          8 |          3 |         18 |
| src/router/modules                                                                              |          3 |        137 |         17 |          8 |        162 |
| src/store                                                                                       |          5 |         62 |         27 |          8 |         97 |
| src/store (Files)                                                                               |          1 |          3 |          0 |          3 |          6 |
| src/store/modules                                                                               |          4 |         59 |         27 |          5 |         91 |
| src/utils                                                                                       |          2 |         64 |         26 |         10 |        100 |
| src/views                                                                                       |         56 |     11,673 |        287 |        384 |     12,344 |
| src/views (Files)                                                                               |          1 |         10 |          8 |          5 |         23 |
| src/views/404                                                                                   |          1 |         16 |          8 |          3 |         27 |
| src/views/ai                                                                                    |          2 |        130 |          8 |          5 |        143 |
| src/views/book                                                                                  |          1 |          6 |          8 |          4 |         18 |
| src/views/case                                                                                  |          2 |         27 |          8 |          6 |         41 |
| src/views/chrome                                                                                |          2 |        211 |          8 |         23 |        242 |
| src/views/community                                                                             |          2 |        172 |          8 |          5 |        185 |
| src/views/components                                                                            |          2 |         36 |          8 |          9 |         53 |
| src/views/components/context-menu                                                               |          2 |         36 |          8 |          9 |         53 |
| src/views/gpt                                                                                   |          7 |        187 |         32 |         26 |        245 |
| src/views/gpt (Files)                                                                           |          3 |         29 |         16 |          5 |         50 |
| src/views/gpt/components                                                                        |          4 |        158 |         16 |         21 |        195 |
| src/views/gpt/components/textarea                                                               |          2 |         75 |          8 |         11 |         94 |
| src/views/gpt/components/view                                                                   |          2 |         83 |          8 |         10 |        101 |
| src/views/keyword                                                                               |          2 |         30 |          8 |          7 |         45 |
| src/views/lazy                                                                                  |          1 |          8 |          8 |          4 |         20 |
| src/views/linux                                                                                 |          3 |        109 |         19 |         16 |        144 |
| src/views/platform                                                                              |          2 |         53 |          8 |          6 |         67 |
| src/views/react                                                                                 |          1 |          8 |          8 |          4 |         20 |
| src/views/resources                                                                             |          1 |          8 |          8 |          4 |         20 |
| src/views/screenshot                                                                            |          2 |        300 |          9 |         40 |        349 |
| src/views/swagger                                                                               |          5 |        315 |         16 |         40 |        371 |
| src/views/swagger (Files)                                                                       |          1 |         40 |          8 |          4 |         52 |
| src/views/swagger/aigc                                                                          |          2 |        119 |          0 |         20 |        139 |
| src/views/swagger/api                                                                           |          2 |        156 |          8 |         16 |        180 |
| src/views/syntax                                                                                |          8 |      9,168 |         54 |         90 |      9,312 |
| src/views/syntax (Files)                                                                        |          2 |        246 |         14 |         38 |        298 |
| src/views/syntax/config                                                                         |          6 |      8,922 |         40 |         52 |      9,014 |
| src/views/tool                                                                                  |          2 |        467 |          8 |          6 |        481 |
| src/views/upload                                                                                |          8 |        404 |         37 |         77 |        518 |
| src/views/upload (Files)                                                                        |          2 |         31 |          8 |          7 |         46 |
| src/views/upload/components                                                                     |          6 |        373 |         29 |         70 |        472 |
| src/views/upload/components/Head                                                                |          2 |         79 |          8 |         13 |        100 |
| src/views/upload/components/List                                                                |          2 |        225 |         13 |         40 |        278 |
| src/views/upload/components/Search                                                              |          2 |         69 |          8 |         17 |         94 |
| src/views/vue                                                                                   |          1 |          8 |          8 |          4 |         20 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                        | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/.eslintrc.cjs                                     | JavaScript |         31 |         36 |          2 |         69 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/.prettierignore                                   | Ignore     |          7 |          0 |          3 |         10 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/.stylelintrc.cjs                                  | JavaScript |         46 |          6 |          2 |         54 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/commitlint.config.cjs                             | JavaScript |         28 |          1 |          1 |         30 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/index.html                                        | HTML       |         34 |          8 |          2 |         44 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/pnpm-lock.yaml                                    | YAML       |      8,956 |          0 |      1,121 |     10,077 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/scripts/preinstall.js                             | JavaScript |          7 |          0 |          1 |          8 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/App.vue                                       | Vue        |         15 |          8 |          5 |         28 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/api/upload.ts                                 | TypeScript |         12 |         12 |          2 |         26 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/assets/styles/global.css                      | CSS        |         21 |          0 |          7 |         28 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/assets/styles/iconfont.css                    | CSS        |        382 |          0 |        126 |        508 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/card/index.scss                    | SCSS       |         53 |          3 |          9 |         65 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/card/index.vue                     | Vue        |         55 |         10 |          8 |         73 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/contextMenu/index.scss             | SCSS       |          0 |          0 |          1 |          1 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/contextMenu/index.vue              | Vue        |          9 |          8 |          3 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Main/config.ts  | TypeScript |      1,232 |          8 |         15 |      1,255 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Main/index.scss | SCSS       |        270 |          3 |         30 |        303 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Main/index.vue  | Vue        |        255 |          8 |         20 |        283 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Menu/index.scss | SCSS       |         45 |          0 |          5 |         50 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Menu/index.vue  | Vue        |        107 |          8 |         13 |        128 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Side/index.scss | SCSS       |          5 |          0 |          1 |          6 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/components/Side/index.vue  | Vue        |          9 |          8 |          3 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/index.scss                 | SCSS       |        187 |          2 |         30 |        219 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/keyword/index.vue                  | Vue        |        217 |         38 |         20 |        275 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-content/index.scss      | SCSS       |         19 |          1 |          2 |         22 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-content/index.vue       | Vue        |         14 |          8 |          4 |         26 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-header/index.scss       | SCSS       |         91 |          9 |         17 |        117 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-header/index.vue        | Vue        |        151 |         16 |         10 |        177 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-menu/index.scss         | SCSS       |         68 |          1 |         11 |         80 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/cxy-menu/index.vue          | Vue        |         99 |          9 |         13 |        121 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/layout/index.vue                   | Vue        |         22 |          9 |          4 |         35 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/navbar/index.scss                  | SCSS       |         66 |          1 |         14 |         81 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/navbar/index.vue                   | Vue        |         81 |          8 |         12 |        101 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/popup/index.scss                   | SCSS       |         49 |          0 |          6 |         55 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/components/popup/index.vue                    | Vue        |         92 |          8 |         11 |        111 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/env.d.ts                                      | TypeScript |          5 |          2 |          1 |          8 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/main.ts                                       | TypeScript |         19 |          8 |          3 |         30 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/premission.ts                                 | TypeScript |         19 |          0 |          4 |         23 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/router/index.ts                               | TypeScript |          7 |          8 |          3 |         18 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/router/modules/common.modules.ts              | TypeScript |         73 |          8 |          3 |         84 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/router/modules/index.ts                       | TypeScript |          3 |          0 |          2 |          5 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/router/modules/user.modules.ts                | TypeScript |         61 |          9 |          3 |         73 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/store/index.ts                                | TypeScript |          3 |          0 |          3 |          6 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/store/modules/cxy.ts                          | TypeScript |         13 |          8 |          1 |         22 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/store/modules/gpt.ts                          | TypeScript |         13 |          8 |          1 |         22 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/store/modules/popup.ts                        | TypeScript |         16 |          8 |          2 |         26 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/store/modules/user.ts                         | TypeScript |         17 |          3 |          1 |         21 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/utils/index.ts                                | TypeScript |         42 |         10 |          5 |         57 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/utils/request.ts                              | TypeScript |         22 |         16 |          5 |         43 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/404/index.vue                           | Vue        |         16 |          8 |          3 |         27 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/ai/index.scss                           | SCSS       |          5 |          0 |          0 |          5 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/ai/index.vue                            | Vue        |        125 |          8 |          5 |        138 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/book/index.vue                          | Vue        |          6 |          8 |          4 |         18 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/case/index.scss                         | SCSS       |          2 |          0 |          1 |          3 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/case/index.vue                          | Vue        |         25 |          8 |          5 |         38 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/chrome/index.scss                       | SCSS       |         97 |          0 |         15 |        112 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/chrome/index.vue                        | Vue        |        114 |          8 |          8 |        130 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/community/index.scss                    | SCSS       |          5 |          0 |          0 |          5 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/community/index.vue                     | Vue        |        167 |          8 |          5 |        180 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/components/context-menu/index.scss      | SCSS       |         16 |          0 |          3 |         19 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/components/context-menu/index.vue       | Vue        |         20 |          8 |          6 |         34 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/components/textarea/index.scss      | SCSS       |         44 |          0 |          4 |         48 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/components/textarea/textarea.vue    | Vue        |         31 |          8 |          7 |         46 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/components/view/index.scss          | SCSS       |         15 |          0 |          1 |         16 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/components/view/view.vue            | Vue        |         68 |          8 |          9 |         85 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/index.js                            | JavaScript |          9 |          8 |          1 |         18 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/index.scss                          | SCSS       |          5 |          0 |          0 |          5 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/gpt/index.vue                           | Vue        |         15 |          8 |          4 |         27 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/index.vue                               | Vue        |         10 |          8 |          5 |         23 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/keyword/index.scss                      | SCSS       |         11 |          0 |          2 |         13 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/keyword/index.vue                       | Vue        |         19 |          8 |          5 |         32 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/lazy/index.vue                          | Vue        |          8 |          8 |          4 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/linux/config.js                         | JavaScript |          6 |          8 |          1 |         15 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/linux/index.scss                        | SCSS       |         57 |          0 |          5 |         62 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/linux/index.vue                         | Vue        |         46 |         11 |         10 |         67 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/platform/index.scss                     | SCSS       |          0 |          0 |          1 |          1 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/platform/index.vue                      | Vue        |         53 |          8 |          5 |         66 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/react/index.vue                         | Vue        |          8 |          8 |          4 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/resources/index.vue                     | Vue        |          8 |          8 |          4 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/screenshot/index.module.css             | CSS        |         88 |          1 |          9 |         98 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/screenshot/index.vue                    | Vue        |        212 |          8 |         31 |        251 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/swagger/aigc/index.scss                 | SCSS       |         39 |          0 |          7 |         46 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/swagger/aigc/index.vue                  | Vue        |         80 |          0 |         13 |         93 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/swagger/api/index.scss                  | SCSS       |         72 |          0 |         11 |         83 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/swagger/api/index.vue                   | Vue        |         84 |          8 |          5 |         97 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/swagger/index.vue                       | Vue        |         40 |          8 |          4 |         52 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/HTML.js                   | JavaScript |        823 |          8 |          8 |        839 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/NodeJs.js                 | JavaScript |      2,887 |          8 |         12 |      2,907 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/Python.js                 | JavaScript |        963 |          8 |          2 |        973 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/css.js                    | JavaScript |      1,072 |          8 |          1 |      1,081 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/javascript.js             | JavaScript |      1,744 |          0 |         28 |      1,772 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/config/jquery.js                 | JavaScript |      1,433 |          8 |          1 |      1,442 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/index.scss                       | SCSS       |         96 |          6 |         13 |        115 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/syntax/index.vue                        | Vue        |        150 |          8 |         25 |        183 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/tool/index.scss                         | SCSS       |          6 |          0 |          1 |          7 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/tool/index.vue                          | Vue        |        461 |          8 |          5 |        474 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/Head/index.scss       | SCSS       |         35 |          0 |          6 |         41 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/Head/index.vue        | Vue        |         44 |          8 |          7 |         59 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/List/index.scss       | SCSS       |        100 |          4 |         21 |        125 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/List/index.vue        | Vue        |        125 |          9 |         19 |        153 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/Search/index.scss     | SCSS       |         29 |          0 |          4 |         33 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/components/Search/index.vue      | Vue        |         40 |          8 |         13 |         61 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/index.scss                       | SCSS       |          7 |          0 |          0 |          7 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/upload/index.vue                        | Vue        |         24 |          8 |          7 |         39 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/src/views/vue/index.vue                           | Vue        |          8 |          8 |          4 |         20 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/vite.config.ts                                    | TypeScript |         63 |         10 |          4 |         77 |
| /Users/yangwenlong/Desktop/gitee/cxy-web-tool/vite.config.ts.timestamp-1725869157175.mjs        | JavaScript |         67 |         11 |          1 |         79 |
| Total                                                                                           |            |     24,851 |        633 |      1,960 |     27,444 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
